,Recording_ID,Dan,Shelby
1,780410,1,1
2,780189,2,3
3,780188,2,3
4,739529,1,2
5,726829,3,3
6,718994,4,2
7,718993,1,1
8,615910,1,1
9,615909,1,1
10,608584,3,4
11,522379,1,2
12,486574,1,2
13,399979,1,1
14,399950,1,1
15,351743,1,2
16,337884,1,1
17,336131,3,2
18,336129,3,2
19,300105,1,3
20,300104,3,3
21,237571,2,3
22,811150,3,3
23,810996,5,4
24,810995,2,4
25,792197,5,5
26,792194,5,6
27,792193,5,5
28,779358,1,2
29,762107,3,4
30,726828,5,5
31,718997,2,2
32,718996,3,3
33,718995,3,4
34,709886,4,5
35,706519,3,3
36,700647,1,2
37,692106,4,4
38,690366,3,4
39,690136,5,4
40,679785,3,4
41,621765,3,4
42,621416,3,4
43,595802,2,5
44,591478,5,4
45,525298,5,4
46,525272,4,5
47,524395,2,3
48,524394,2,3
49,514296,4,5
50,514216,4,3
51,514164,3,5
52,504215,4,4
53,498547,5,6
54,498546,5,6
55,422280,1,3
56,401269,1,2
57,397912,4,3
58,397448,3,5
59,397447,2,5
60,389041,2,3
61,347516,5,6
62,347514,5,6
63,347513,5,6
64,337885,3,3
65,334108,3,2
66,328695,5,6
67,302964,4,5
68,302962,5,6
69,289343,2,2
70,288123,3,3
71,283230,1,2
72,280039,3,3
73,266329,1,2
74,265154,5,6
75,265153,5,6
76,264908,2,3
77,237570,3,4
78,233906,4,4
79,233905,3,2
80,233904,2,2
81,200575,3,3
82,179668,4,5
83,169673,3,5
84,164104,2,2
85,138030,3,4
86,137080,3,5
87,125134,2,2
88,125133,3,2
89,125132,4,2
90,115262,3,3
91,115261,2,4
92,99171,5,4
93,99170,5,5
94,99169,4,4
95,99168,2,4
96,99167,4,6
97,48244,3,2
98,43706,2,3
99,689709,5,6
100,539541,5,6
101,516111,3,5
102,514165,5,6
103,508800,3,4
104,460517,5,4
105,460515,3,5
106,413122,2,4
107,404370,2,3
108,397560,5,6
109,396811,5,5
110,396810,5,5
111,348764,4,4
112,316015,5,6
113,295582,5,5
114,289342,2,2
115,288081,5,4
116,285391,5,6
117,205693,5,5
118,205582,5,6
119,196096,2,4
120,157007,5,6
121,138032,4,4
122,138027,5,5
123,118454,5,5
124,99166,4,6
125,99165,3,5
126,95664,2,3
127,78569,4,5
128,397446,5,6
129,359007,5,6
130,350089,2,1
131,77337,5,6
